Feature1,Feature2,Label
55.50 ,69.50 ,1
41.00 ,81.50 ,1
53.50 ,86.00 ,1
46.00 ,84.00 ,1
41.00 ,73.50 ,1
51.50 ,69.00 ,1
51.00 ,62.50 ,1
42.00 ,75.00 ,1
53.50 ,83.00 ,1
57.50 ,71.00 ,1
42.50 ,72.50 ,1
41.00 ,80.00 ,1
46.00 ,82.00 ,1
46.00 ,60.50 ,1
49.50 ,76.00 ,1
41.00 ,76.00 ,1
48.50 ,72.50 ,1
51.50 ,82.50 ,1
44.50 ,70.50 ,1
44.00 ,66.00 ,1
33.00 ,76.50 ,1
33.50 ,78.50 ,1
31.50 ,72.00 ,1
33.00 ,81.50 ,1
42.00 ,59.50 ,1
30.00 ,64.00 ,1
61.00 ,45.00 ,1
49.00 ,79.00 ,1
26.50 ,64.50 ,1
34.00 ,71.50 ,1
42.00 ,83.50 ,1
29.50 ,74.50 ,1
39.50 ,70.00 ,1
51.50 ,66.00 ,1
41.50 ,71.50 ,1
42.50 ,79.50 ,1
35.00 ,59.50 ,1
38.50 ,73.50 ,1
32.00 ,81.50 ,1
46.00 ,60.50 ,1
36.50 ,53.00 ,0
36.50 ,53.50 ,0
24.00 ,60.50 ,0
19.00 ,57.50 ,0
34.50 ,60.00 ,0
37.50 ,64.50 ,0
35.50 ,51.00 ,0
37.00 ,50.50 ,0
21.50 ,42.00 ,0
35.50 ,58.50 ,0
26.50 ,68.50 ,0
26.50 ,55.50 ,0
18.50 ,67.00 ,0
40.00 ,67.00 ,0
32.50 ,71.50 ,0
39.00 ,71.50 ,0
43.00 ,55.50 ,0
22.00 ,54.00 ,0
36.00 ,62.50 ,0
31.00 ,55.50 ,0
38.50 ,76.00 ,0
40.00 ,75.00 ,0
37.50 ,63.00 ,0
24.50 ,58.00 ,0
30.00 ,67.00 ,0
33.00 ,56.00 ,0
56.50 ,61.00 ,0
41.00 ,57.00 ,0
49.50 ,63.00 ,0
34.50 ,72.50 ,0
32.50 ,69.00 ,0
36.00 ,73.00 ,0
27.00 ,53.50 ,0
41.00 ,63.50 ,0
29.50 ,52.50 ,0
20.00 ,65.50 ,0
38.00 ,65.00 ,0
18.50 ,74.50 ,0
16.00 ,72.50 ,0
33.50 ,68.00 ,0
